nthreads,orams,oramsPerThread,inputTuples,buildTime,probeTime,deleteTime,time,throughput
32,32,1,20000,255.51,1083.9,259.1,1599135019,0.0
16,16,1,20000,175.94,140.24,174.56,491109252,0.0
8,8,1,20000,221.95,147.98,310.64,680939151,0.0
4,4,1,20000,218.77,153.83,273.49,646426453,0.0
2,2,1,20000,298.26,182.92,481.0,962567142,0.0
1,1,1,20000,352.63,213.31,646.48,1212806822,0.0
32,64,2,20000,215.86,1305.48,274.53,1796554824,0.0
16,32,2,20000,156.47,173.49,145.48,475802603,0.0
8,16,2,20000,230.93,196.96,275.14,703489037,0.0
4,8,2,20000,288.37,233.95,402.29,925075104,0.0
2,4,2,20000,294.45,240.8,443.32,979037077,0.0
1,2,2,20000,342.66,267.22,598.34,1208699536,0.0
32,96,3,20000,203.25,1512.46,181.77,1898220889,0.0
16,48,3,20000,211.16,213.95,215.02,640711781,0.0
8,24,3,20000,252.5,249.72,315.78,818542609,0.0
4,12,3,20000,272.51,258.74,348.77,880546735,0.0
2,6,3,20000,313.73,297.98,493.7,1105967607,0.0
1,3,3,20000,354.81,324.64,664.56,1344549403,0.0
32,128,4,20000,199.26,1517.32,184.44,1901776804,0.0
16,64,4,20000,211.1,270.03,253.49,735248660,0.0
8,32,4,20000,247.77,270.66,273.36,792389296,0.0
4,16,4,20000,273.89,321.4,393.04,988922247,0.0
2,8,4,20000,326.01,363.05,519.37,1209014411,0.0
1,4,4,20000,316.54,350.77,537.61,1205489823,0.0